no,weight,start_node,end_node,start_time,end_time
1,270,11,4,11,17
2,379,14,10,10,18
3,337,2,8,13,17
4,94,4,16,9,16
5,247,11,17,9,17
6,367,2,5,9,17
7,349,18,9,9,17
8,366,8,1,9,16
9,79,2,12,12,18
10,508,7,1,13,17
11,218,12,14,13,17
12,668,14,13,9,17
13,329,3,7,9,15
14,488,4,3,9,14
15,645,7,4,9,17
16,303,15,11,10,15
17,247,5,16,10,14
18,214,12,15,13,17
19,544,8,13,11,18
20,785,6,18,9,13
21,203,6,4,9,16
22,75,3,17,13,17
23,341,4,6,10,15
24,600,14,1,9,15
25,703,10,12,11,15
26,638,10,9,9,16
27,504,11,17,12,18
28,96,3,13,10,18
29,53,12,13,9,15
30,544,11,3,13,18
31,459,17,14,9,13
32,191,8,11,11,15
33,637,2,5,10,17
34,741,16,5,13,17
35,406,15,17,13,17
36,88,3,8,9,13
37,52,5,3,13,18
38,754,4,1,10,18
39,93,17,8,9,15
40,79,13,1,10,14
41,529,10,11,9,13
42,205,12,14,10,16
43,90,3,6,12,18
44,366,7,1,10,14
45,749,7,4,9,16
46,611,10,13,9,13
47,300,15,2,9,17
48,84,3,4,10,15
49,477,15,14,9,16
50,328,5,1,9,17
51,154,11,17,9,17
52,641,14,2,9,16
53,429,1,2,9,15
54,435,5,8,9,13
55,369,3,1,11,16
56,84,7,1,11,15
57,649,16,5,9,17
58,69,1,4,11,15
59,410,10,9,10,14
60,228,9,13,11,16
61,704,18,8,12,17
62,785,1,6,9,14
63,546,17,3,12,17
64,146,2,10,13,17
65,58,10,11,12,17
66,655,16,1,9,14
67,478,17,3,9,17
68,787,3,1,9,13
69,495,10,15,10,17
70,447,5,14,9,14
71,385,11,3,9,18
72,619,9,13,11,16
73,89,12,14,9,16
74,719,2,8,11,18
75,498,2,15,10,15
76,62,2,6,9,17
77,288,4,17,9,14
78,384,15,5,11,18
79,555,8,17,13,18
80,100,6,8,13,17
81,481,8,2,9,15
82,467,16,12,9,17
83,365,16,2,13,17
84,275,17,12,9,17
85,577,11,3,9,15
86,230,1,3,9,14
87,343,7,3,9,14
88,296,6,11,9,15
