no,weight,start_node,end_node,start_time,end_time
1,407,20,24,11,16
2,155,24,23,12,16
3,525,18,1,9,14
4,112,23,5,12,16
5,558,25,2,9,14
6,589,23,22,9,15
7,643,2,25,12,18
8,194,14,19,10,16
9,206,7,1,9,17
10,220,8,4,9,13
11,452,3,4,12,18
12,770,21,23,9,16
13,123,4,7,11,17
14,539,21,22,9,18
15,248,24,19,9,18
16,686,11,22,10,14
17,655,13,2,12,17
18,426,8,10,9,17
19,556,10,16,9,18
20,403,27,3,9,16
21,477,15,3,12,16
22,709,6,19,10,17
23,767,25,21,9,13
24,227,25,26,9,18
25,201,25,24,9,13
26,651,19,21,9,18
27,131,11,16,9,16
28,734,16,11,9,14
29,147,6,7,10,16
30,218,9,19,9,15
31,384,14,11,10,18
32,368,7,24,9,13
33,450,23,20,9,15
34,794,14,16,11,17
35,431,23,20,9,17
36,737,22,25,9,13
37,669,4,3,12,16
38,634,7,1,9,16
39,494,20,1,12,18
40,759,25,15,13,17
41,656,16,1,12,18
42,608,13,27,13,17
43,646,20,26,9,18
44,81,1,6,10,18
45,201,12,22,9,18
46,257,26,12,9,14
47,351,1,2,9,18
48,414,9,15,9,13
49,134,8,4,13,17
50,223,5,20,10,15
51,119,4,3,13,18
52,543,26,21,11,18
53,207,13,16,9,13
54,507,25,19,9,17
55,342,5,6,9,16
56,430,6,7,10,18
57,305,5,2,12,18
58,734,13,16,10,15
59,588,8,3,10,16
60,540,16,10,9,17
61,799,15,12,10,18
62,670,4,2,11,17
63,610,10,4,9,13
64,584,2,4,9,14
65,686,13,12,11,16
66,574,19,9,11,18
67,728,10,14,9,14
68,418,1,5,9,17
69,615,14,8,9,14
70,477,13,12,9,16
71,291,10,11,10,16
72,584,22,25,10,14
73,763,27,14,12,17
74,417,25,24,12,17
75,102,4,26,9,14
76,355,15,16,9,15
77,98,16,12,9,15
78,738,1,2,13,18
79,214,16,27,13,17
80,638,11,16,9,16
81,239,6,5,9,16
82,738,3,2,12,17
83,670,26,9,9,13
84,430,20,26,11,15
85,572,10,11,12,18
86,682,2,3,12,17
87,679,3,16,10,15
88,654,2,3,9,13
89,165,20,21,10,18
90,404,21,25,10,17
91,82,14,15,11,16
92,68,10,15,9,14
93,120,14,10,11,16
94,791,6,8,9,15
95,713,12,14,12,16
96,313,25,11,11,15
97,669,21,23,9,16
98,617,17,12,9,13
99,150,26,24,13,17
100,346,26,21,13,17
101,51,7,6,9,13
102,701,24,11,10,16
103,52,24,12,12,16
104,562,22,3,12,16
105,159,13,15,13,17
106,649,12,11,12,16
107,183,24,23,9,14
108,286,14,9,9,16
109,608,24,20,13,17
110,634,22,26,10,16
111,348,2,1,9,17
112,553,4,13,9,16
113,629,5,6,12,16
114,424,22,21,9,18
115,357,6,8,12,17
116,317,19,25,13,18
117,776,19,21,12,16
118,133,23,2,9,18
119,640,22,23,9,15
120,227,18,5,11,16
121,741,13,17,11,17
122,172,3,5,9,18
123,642,23,8,13,18
124,484,6,17,9,18
125,322,14,24,12,18
126,771,10,11,9,13
127,584,22,25,11,16
128,164,15,17,10,15
129,358,5,13,9,15
130,556,26,20,13,17
131,100,8,12,13,17
132,762,7,8,9,18
133,272,20,25,10,18
134,753,18,2,10,15
135,399,13,14,9,14
136,69,3,1,9,17
137,303,8,25,9,13
138,298,19,20,9,15
139,458,7,1,10,15
140,435,10,13,12,16
141,777,10,3,13,18
142,323,2,4,10,17
143,668,26,23,12,18
144,798,19,22,9,17
145,413,11,8,10,17
146,173,11,23,12,18
147,81,15,7,11,16
148,197,4,2,9,18
149,111,20,18,9,14
150,161,11,20,9,18
151,66,4,6,13,18
152,301,9,15,11,18
153,600,8,3,9,18
154,145,11,9,12,17
155,789,24,19,12,17
156,306,22,25,9,18
157,606,19,23,12,18
158,376,7,13,13,17
159,735,27,12,9,15
160,466,3,1,10,16
161,409,15,23,11,17
162,333,2,22,9,15
163,677,9,24,9,17
164,87,20,5,9,15
165,500,21,18,10,18
166,299,19,23,9,15
167,710,26,25,9,16
168,306,5,1,10,18
169,110,26,23,10,14
170,690,9,23,9,15
171,550,16,17,10,14
172,61,1,6,9,15
173,314,6,8,9,14
174,535,12,10,9,17
175,786,16,12,9,15
176,314,6,3,9,15
177,215,20,5,9,15
178,540,19,20,12,16
179,477,25,20,9,13
180,350,21,1,11,17
181,572,20,24,12,16
182,738,2,3,9,15
183,775,15,14,9,13
184,551,15,17,9,17
185,245,18,26,10,14
186,552,2,5,13,18
187,645,3,6,12,18
188,607,15,12,10,16
189,84,25,10,9,13
190,348,24,26,13,18
191,428,2,15,13,17
192,74,14,7,9,17
193,664,14,12,12,17
194,711,2,26,9,17
195,66,12,17,13,17
196,713,23,6,9,15
197,620,16,13,12,16
198,438,20,8,9,14
199,238,2,1,9,17
200,633,6,22,13,18
