no,weight,start_node,end_node,start_time,end_time
1,275,3,4,10,18
2,502,11,15,12,18
3,73,4,18,9,17
4,118,1,8,10,15
5,466,12,14,11,17
6,595,15,21,12,16
7,411,19,25,12,17
8,646,8,3,12,16
9,657,10,13,10,14
10,789,23,19,9,17
11,503,25,23,9,16
12,403,13,16,12,17
13,759,2,19,12,16
14,78,25,22,13,17
15,591,4,6,9,13
16,204,25,22,13,18
17,724,24,17,11,15
18,656,16,14,9,18
19,772,3,4,9,16
20,184,26,20,10,14
21,609,4,6,12,18
22,282,12,21,9,18
23,69,6,5,10,17
24,78,7,3,9,14
25,243,9,22,10,14
26,359,20,21,9,16
27,544,19,22,9,16
28,324,26,20,12,16
29,395,10,7,9,17
30,91,19,20,12,17
31,254,7,3,10,15
32,355,22,21,12,18
33,261,19,26,9,18
34,276,1,24,9,15
35,429,13,10,9,14
36,728,25,21,9,14
37,621,18,27,12,16
38,672,8,4,13,17
39,548,6,4,12,16
40,682,26,23,13,18
41,472,23,22,9,13
42,744,17,11,10,14
43,665,17,13,10,16
44,131,14,15,11,17
45,81,6,12,13,17
46,250,27,7,10,17
47,213,4,5,9,16
48,449,14,12,10,18
49,135,20,1,10,16
50,465,6,8,12,17
51,398,19,23,12,17
52,64,12,10,11,15
53,268,23,19,13,18
54,460,21,17,9,14
55,251,9,11,12,17
56,465,20,16,9,16
57,61,11,17,9,16
58,584,7,1,9,17
59,514,17,10,11,15
60,664,2,5,10,14
61,131,24,1,13,18
62,76,5,4,13,17
63,542,16,15,11,17
64,596,2,7,9,18
65,206,15,10,9,15
66,116,21,25,9,17
67,83,2,21,9,17
68,800,13,15,9,15
69,523,2,6,9,18
70,767,3,6,12,16
71,86,5,1,11,16
72,351,19,26,9,13
73,100,8,3,13,18
74,624,22,21,9,16
75,694,26,22,11,18
76,294,17,12,10,18
77,126,10,17,10,16
78,426,14,11,13,17
79,465,22,21,11,18
80,236,3,7,11,15
81,697,11,15,9,15
82,544,15,10,9,17
83,96,23,20,9,15
84,496,20,22,9,17
85,341,25,23,9,15
86,639,2,1,11,16
87,236,6,24,9,13
88,156,11,20,12,17
89,75,4,19,10,17
90,721,26,14,10,15
91,99,6,8,10,16
92,200,17,4,12,16
93,300,6,1,10,18
94,505,3,1,9,13
95,165,4,5,10,14
96,543,15,12,11,17
97,177,2,25,9,14
98,717,14,15,10,18
99,313,8,3,11,18
100,308,14,10,9,18
