no,weight,start_node,end_node,start_time,end_time
1,544,26,8,12,16
2,288,28,30,10,15
3,794,25,26,11,18
4,163,12,28,9,18
5,508,19,6,11,15
6,370,16,14,12,16
7,87,13,10,11,18
8,77,4,34,9,17
9,436,35,28,11,15
10,559,3,1,11,16
11,75,32,35,9,14
12,454,18,35,12,17
13,314,10,19,12,16
14,757,28,29,12,16
15,231,23,26,10,18
16,59,34,35,9,13
17,758,31,18,12,17
18,705,31,33,11,17
19,255,10,13,9,14
20,408,4,29,13,17
21,513,3,8,13,17
22,784,11,32,13,18
23,54,17,11,13,18
24,623,32,16,9,15
25,622,8,2,9,16
26,784,14,17,9,16
27,195,23,25,13,18
28,91,22,24,11,17
29,700,22,24,9,16
30,636,17,16,9,15
31,65,3,1,9,14
32,319,14,10,13,18
33,703,28,34,13,17
34,776,2,8,11,17
35,462,4,2,9,15
36,747,28,13,9,17
37,133,2,4,10,17
38,227,14,11,13,18
39,85,26,25,9,17
40,526,31,11,9,16
41,342,28,32,10,17
42,688,11,15,12,16
43,648,11,13,12,16
44,709,27,2,12,17
45,767,31,28,13,18
46,126,26,5,13,18
47,62,12,19,9,15
48,96,20,21,9,14
49,387,30,31,10,17
50,769,28,31,9,14
51,577,17,31,13,17
52,468,3,5,9,16
53,56,34,11,11,18
54,90,16,17,13,17
55,324,32,35,12,18
56,673,19,8,10,17
57,246,12,14,9,16
58,558,29,28,10,14
59,72,3,7,9,16
60,518,21,22,9,14
61,773,20,21,9,16
62,65,34,32,9,17
63,564,29,6,12,18
64,330,22,19,9,15
65,678,6,5,9,18
66,251,27,6,9,14
67,227,4,8,9,18
68,708,25,6,11,17
69,105,35,17,12,17
70,151,5,8,9,13
71,282,24,21,9,16
72,604,8,13,11,15
73,110,22,35,9,13
74,551,22,15,9,14
75,638,13,15,9,16
76,373,36,7,9,18
77,598,24,25,10,18
78,435,19,26,9,13
79,698,1,2,9,14
80,504,6,2,12,17
81,338,27,34,12,16
82,798,5,7,9,13
83,602,11,17,13,18
84,331,35,8,9,16
85,630,21,20,9,15
86,99,35,32,9,18
87,175,19,26,10,18
88,607,24,25,9,17
89,665,28,15,12,18
90,548,11,35,12,18
91,97,28,32,9,13
92,114,34,30,9,18
93,180,1,7,9,17
94,271,27,2,12,18
95,640,1,31,12,17
96,274,11,12,9,14
97,196,14,17,10,15
98,207,23,16,11,18
99,168,32,35,9,15
100,221,1,7,12,17
101,154,23,22,9,13
102,250,14,15,11,16
103,551,29,33,11,18
104,741,4,6,12,18
105,75,1,6,13,18
106,651,11,6,9,14
107,81,19,22,9,16
108,292,24,35,12,16
109,101,14,7,9,17
110,430,21,36,12,18
111,434,32,8,9,17
112,379,35,30,9,14
113,570,20,26,13,18
114,336,12,16,13,18
115,53,30,33,12,16
116,205,24,22,10,14
117,70,20,10,12,18
118,69,3,1,10,15
119,185,11,16,10,18
120,242,34,7,9,14
121,171,19,7,9,15
122,777,23,22,9,13
123,119,11,17,12,16
124,624,8,14,10,16
125,132,16,10,11,16
126,616,26,24,12,18
127,159,32,35,10,17
128,619,22,15,9,16
129,194,11,15,10,14
130,66,26,19,9,17
131,87,4,5,10,14
132,433,25,24,12,16
133,227,6,7,9,14
134,672,2,30,13,18
135,371,24,19,13,18
136,465,4,6,12,17
137,233,25,22,9,18
138,557,23,26,13,18
139,787,27,17,9,16
140,442,22,14,9,14
141,595,7,2,13,18
142,553,7,10,9,17
143,242,31,13,9,13
144,478,17,13,12,16
145,488,10,11,9,17
146,340,21,10,9,14
147,373,11,30,9,13
148,598,19,30,11,17
149,626,6,29,12,18
150,57,16,10,9,16
151,538,16,25,12,18
152,303,22,23,13,18
153,295,13,11,13,17
154,567,17,15,12,16
155,65,6,16,9,13
156,90,26,20,9,13
157,205,22,19,13,18
158,703,8,2,13,17
159,120,15,13,13,18
160,498,30,7,9,18
161,210,8,7,13,17
162,592,6,8,11,16
163,794,6,5,9,13
164,590,12,15,10,17
165,168,9,36,12,16
166,73,33,29,9,17
167,69,16,2,12,17
168,486,26,23,11,18
169,650,16,12,9,18
170,149,5,3,9,15
171,90,2,4,9,18
172,242,14,17,9,13
173,601,10,11,10,15
174,621,14,12,12,16
175,538,19,32,12,16
176,515,5,3,11,15
177,781,29,34,9,15
178,722,4,3,11,15
179,130,35,31,9,15
180,93,20,31,13,18
181,65,30,34,13,17
182,162,23,28,9,16
183,371,13,12,9,14
184,202,13,14,10,17
185,294,14,15,9,14
186,181,3,6,9,15
187,670,25,24,10,15
188,636,31,29,9,16
189,349,24,23,11,15
190,763,24,19,11,17
191,450,10,11,10,18
192,663,33,29,13,17
193,778,30,35,9,18
194,622,9,16,12,17
195,214,25,19,11,16
196,237,17,12,9,14
197,319,30,20,9,18
198,103,31,29,9,18
199,787,8,20,12,17
200,290,24,29,10,18
