no,weight,start_node,end_node,start_time,end_time
1,747,12,17,9,13
2,443,34,33,10,18
3,654,31,22,9,15
4,451,15,2,10,14
5,310,5,1,10,14
6,378,15,2,12,17
7,736,15,11,9,15
8,685,33,11,9,17
9,151,1,6,11,18
10,94,15,2,11,17
11,183,35,29,9,18
12,205,1,4,12,16
13,638,25,22,9,15
14,418,23,26,9,13
15,238,22,24,11,17
16,780,30,32,12,18
17,322,19,26,12,16
18,405,26,24,11,16
19,354,22,3,11,16
20,50,26,24,9,16
21,301,16,15,9,15
22,434,32,14,11,16
23,353,12,11,11,17
24,796,2,25,12,17
25,219,33,4,9,14
26,347,22,20,9,16
27,64,25,20,10,16
28,68,32,34,9,13
29,51,3,35,9,14
30,619,11,14,10,14
31,77,14,8,9,17
32,155,10,12,12,16
33,562,20,22,9,17
34,360,7,5,11,17
35,395,1,5,12,17
36,773,12,11,11,15
37,253,30,31,9,16
38,356,24,21,13,17
39,409,32,34,11,17
40,211,27,13,12,16
41,225,29,35,9,18
42,742,20,19,11,15
43,716,35,7,9,18
44,480,15,13,13,17
45,315,19,36,9,14
46,615,34,4,13,17
47,391,33,30,9,13
48,535,30,33,9,18
49,59,12,15,9,16
50,719,25,29,11,18
51,82,10,16,12,18
52,729,1,7,12,16
53,148,21,19,9,17
54,611,12,11,13,18
55,160,15,11,10,17
56,55,26,23,12,18
57,672,15,17,13,18
58,586,24,2,9,13
59,203,13,14,11,16
60,541,10,17,10,16
61,120,30,34,12,18
62,428,32,26,12,17
63,137,29,12,9,18
64,776,28,31,10,17
65,245,34,32,12,18
66,755,23,32,12,17
67,558,12,15,11,15
68,722,21,19,11,15
69,522,30,31,10,15
70,337,1,4,9,16
71,785,2,19,9,18
72,393,30,31,9,17
73,402,15,10,10,14
74,640,14,11,13,18
75,352,32,35,12,17
76,767,24,22,11,17
77,679,16,13,9,16
78,148,15,21,9,14
79,456,27,3,9,13
80,497,4,5,12,17
81,684,27,13,9,18
82,103,15,7,9,17
83,124,2,7,9,18
84,696,24,29,12,16
85,135,36,26,10,14
86,679,6,2,10,14
87,582,6,3,13,17
88,590,5,8,10,16
89,304,16,11,9,16
90,205,25,26,12,16
91,676,25,19,10,15
92,564,13,10,9,18
93,55,22,17,11,16
94,707,33,21,9,16
95,702,13,17,9,18
96,628,8,2,9,18
97,403,31,35,9,14
98,542,28,33,10,17
99,513,24,25,12,17
100,105,18,25,9,16
